nichei,fiti,nichef,fitf,mu1,mu2,k1,w,h2,theta,sigma,ext.time,f.ext
67,0.51991403924883,0.634800270107275,0.998221134060742,-0.431384540168609,0.3015274,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
68,0.634936389751631,3.46194650387446,0.998533121701719,-0.431164370692251,0.3015274,-1.2061096,0.2,1,0.4,1.507637,1,10,0.001
69,0.747734320087369,-1.40506161818791,0.996845319661493,-0.433561396980416,0.3015274,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
70,0.84914691109614,-0.70106387112521,0.998019967642315,-0.432238260474487,0.3015274,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
71,0.929901132416498,-0.539020166574117,0.999051056406289,-0.430894087554119,0.3015274,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
72,0.981994696007202,-0.500461336094924,0.999753748606316,-0.429833522154397,0.3015274,0,0.2,1,0.4,1.507637,1,8,0.001
73,0.999999840095998,-0.539020166574117,0.999999836028949,-0.429321074169174,0.3015274,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
74,0.981994696007202,-0.701063871125211,0.999774144896399,-0.42944669724754,0.3015274,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
75,0.929901132416498,-1.40506161818791,0.999178941793192,-0.430105947487207,0.3015274,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
76,0.84914691109614,3.46194650387446,0.999448549585793,-0.429609612793586,0.3015274,1.2061096,0.2,1,0.4,1.507637,1,10,0.001
77,0.747734320087369,0.634800270107275,0.999176620396853,-0.429940867906105,0.3015274,1.507637,0.2,1,0.4,1.507637,1,10,0.001
78,0.410536045326947,0.906903063272335,0.997629481885463,-0.432600010025788,0.6030548,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
79,0.51991403924883,4.94588618986903,0.997940316882807,-0.432514577133541,0.6030548,-1.2061096,0.2,1,0.4,1.507637,1,10,0.001
80,0.634936389751631,-2.00733166891322,0.995209347427641,-0.437211042603627,0.6030548,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
81,0.747734320087369,-1.00157010356277,0.996572741572317,-0.435846499415983,0.6030548,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
82,0.84914691109614,-0.770067473583497,0.997910301743316,-0.434155068837431,0.6030548,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
83,0.929901132416498,-0.714980664197186,0.999029402424044,-0.432454273197829,0.6030548,0,0.2,1,0.4,1.507637,1,8,0.001
84,0.981994696007202,-0.770067473583498,0.999755723191968,-0.431118126413317,0.6030548,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
85,0.999999840095998,-1.00157010356277,0.999999824193377,-0.430420562680511,0.6030548,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
86,0.981994696007202,-2.00733166891322,0.999794395700159,-0.430432374653002,0.6030548,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
87,0.929901132416498,4.94588618986903,0.999271823579286,-0.431052278302191,0.6030548,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
88,0.84914691109614,0.906903063272335,0.999529203951446,-0.429704142669722,0.6030548,1.507637,0.2,1,0.4,1.507637,1,10,0.001
89,0.312600355146573,1.36040771854744,0.996967906532319,-0.434155631169886,0.9045822,-1.507637,0.2,1,0.4,1.507637,1,10,0.001
90,0.410536045326947,7.41911899985998,0.992033630603536,-0.442618101102635,0.9045822,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
91,0.51991403924883,-3.01111508678873,0.993315332844052,-0.442074392238001,0.9045822,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
92,0.634936389751631,-1.50241382429202,0.994812440360948,-0.440822270998048,0.9045822,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
93,0.747734320087369,-1.15514631859913,0.996390461380367,-0.438955548111729,0.9045822,-0.3015274,0.2,1,0.4,1.507637,1,8,0.001
94,0.84914691109614,-1.07251287770095,0.997865468374896,-0.436761685938617,0.9045822,0,0.2,1,0.4,1.507637,1,8,0.001
95,0.929901132416498,-1.15514631859913,0.999040219093256,-0.434661808301134,0.9045822,0.3015274,0.2,1,0.4,1.507637,1,8,0.001
96,0.981994696007202,-1.50241382429202,0.999765778252384,-0.433073136754883,0.9045822,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
97,0.999999840095998,-3.01111508678873,0.999999805663329,-0.432256201895158,0.9045822,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
98,0.981994696007202,7.41911899985998,0.999818815728417,-0.432255975969753,0.9045822,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
99,0.929901132416498,1.36040771854744,0.999788833987514,-0.429811002328725,0.9045822,1.507637,0.2,1,0.4,1.507637,1,10,0.001
100,0.229533491403013,1.99531423593258,0.988932284654866,-0.447533797009613,1.2061096,-1.507637,0.2,1,0.4,1.507637,1,8,0.001
101,0.312600355146573,10.8816449338473,0.989894351999863,-0.448190624574322,1.2061096,-1.2061096,0.2,1,0.4,1.507637,1,8,0.001
102,0.410536045326947,-4.41641187181446,0.991198858752937,-0.448076770836548,1.2061096,-0.9045822,0.2,1,0.4,1.507637,1,8,0.001
103,0.51991403924883,-2.20359503331299,0.992788426972409,-0.447056011412471,1.2061096,-0.6030548,0.2,1,0.4,1.507637,1,8,0.001
104,0.634936389751631,-1.69425670162102,0.984262945150438,-0.47357382009281,1.2061096,-0.3015274,0.2,1,0.4,1.507637,1,6,0.001
105,0.747734320087369,-1.57305797660623,0.989384802320869,-0.468126270668174,1.2061096,0,0.2,1,0.4,1.507637,1,6,0.001
106,0.84914691109614,-1.69425670162102,0.99390981285253,-0.462248307840623,1.2061096,0.3015274,0.2,1,0.4,1.507637,1,6,0.001
107,0.929901132416498,-2.20359503331299,0.999082422287535,-0.437425808303881,1.2061096,0.6030548,0.2,1,0.4,1.507637,1,8,0.001
108,0.981994696007202,-4.41641187181446,0.999782785006286,-0.435663455578616,1.2061096,0.9045822,0.2,1,0.4,1.507637,1,8,0.001
109,0.999999840095998,10.8816449338473,0.999999782149635,-0.434832755912159,1.2061096,1.2061096,0.2,1,0.4,1.507637,1,8,0.001
